Class Template	               entity.name.template.class
Enumerator	                   variable.other.enummember
Event (C++/CLI)	               variable.other.event
Function	                   entity.name.function
Function Template	           entity.name.function.template
Generic Type (C++/CLI)	       entity.name.class.generic
Global Variable	               variable.other.global
Label	                       entity.name.label
Local Variable	               variable.other.local
Macro	                       entity.name.function.preprocessor
Member Field	               variable.other.member
Member Function	               entity.name.function.member
Member Operator	               keyword.operator.member
Namespace	                   entity.name.type.namespace
New / Delete	               keyword.operator.new
Operator Function	           entity.name.function.operator
Parameter	                   variable.parameter
Property (C++/CLI)	           variable.other.property
Reference Type (C++/CLI)	   entity.name.class.reference
Static Member Field	           variable.other.member.static
Static Member Function	       entity.name.function.member.static
Type	                       entity.name.type
User-Defined Literal - Number  entity.name.user-defined-literal.number
User-Defined Literal - Raw	   entity.name.user-defined-literal
User-Defined Literal - String  entity.name.user-defined-literal.string
Value Type (C++/CLI)           entity.name.class.value
